haversine,taxicab,google,mapbox
0.5308158,0.52841604,0.66424555,0.7176213
3.3145294,3.2994194,4.7901487,4.4482083
0.17238344,0.12123738,0.2740246,0.23438114
0.9293247,0.6319734,1.569583,1.294005
0.9304041,0.84540546,1.167556,1.1724648
2.0911534,2.0014822,2.5855246,2.4643574
1.4083347,0.24043223,1.8168887,1.7427591
0.31240836,0.24421336,0.46167862,0.49703467
0.3410144,0.15483584,0.80964637,0.4244585
0.2271,2.623706e-2,0.43806654,0.23773654
2.53139,2.4939716,2.9521334,2.9539976
1.4427807,0.2717752,1.8318017,1.8327959
3.0852542,3.0329583,3.5331154,3.263316
8.2480545,2.9561257,10.693794,10.539446
2.0516005,1.9878367,2.939706,2.533143
0.21536861,9.72446e-2,0.52381575,0.3346704
1.3497417,0.45972145,1.909473,1.9139469
0.71646255,0.71035904,0.93827015,0.75602204
3.0287774,9.3164235e-2,3.3846078,3.5893495
1.1520919,0.9356401,1.4148617,1.6331494
0.30545244,0.30178106,0.6592746,0.30559024
4.0573454,2.021071,5.340062,5.375108
4.2038164,4.0649137,5.497269,5.023722
0.9984674,0.21972427,1.2700822,1.2559772
0.574621,0.5326165,0.82518065,0.94833636
5.619961,3.4684892,12.012965,7.076359
1.383368,1.2473066,2.14373,1.9197257
0.3337094,0.29382375,0.5635835,0.40575525
1.3739736,0.52213365,1.8790258,1.9705538
1.9534259,1.0817796,2.8278594,2.6438713
1.5826405,1.248162,2.1263316,2.1555982
3.589614,3.5849748,4.819353,4.105895
3.2589147,0.34666327,3.8568497,3.5110567
2.6488978e-2,4.6902145e-3,0.21872258,2.6594678e-2
1.6911954,1.6853721,2.0561166,2.2309704
1.0402955,0.82642347,1.7858201,1.4463652
0.5763857,0.5281741,0.9177649,0.77391756
13.9203615,11.472312,18.168266,18.50623
2.109671,0.5202094,2.354996,2.3216903
0.53662527,0.5360407,0.6226137,0.59365785
1.2437683,0.99827415,1.7709073,1.812912
0.42553842,0.38101435,0.80218995,0.5952734
0.1958375,1.6205521e-2,0.49336857,0.3116797
0.16736932,0.1475658,0.35480282,0.20126206
